iter	Accuracy	MultiClass
737	0.9009440176	0.2323014468
738	0.9008122942	0.2322559464
739	0.9009440176	0.2321884632
740	0.9009879254	0.2321476255
741	0.9012952799	0.232065328
742	0.9012952799	0.231998908
743	0.9015148189	0.2319139879
744	0.9016465423	0.2318812981
745	0.9015148189	0.231769583
746	0.9014270033	0.2317371875
747	0.9015148189	0.2316675613
748	0.9014709111	0.231634524
749	0.9014270033	0.2316049931
750	0.9014709111	0.2315539026
751	0.9014709111	0.2315043553
752	0.9014270033	0.2314849355
753	0.9015148189	0.2314226392
754	0.9014270033	0.2313622751
755	0.9012952799	0.2312994321
756	0.9012952799	0.231273512
757	0.9015148189	0.2311844243
758	0.9014270033	0.2311409769
759	0.9014270033	0.2311080841
760	0.9016904501	0.2310642721
761	0.9015587267	0.2310181154
762	0.9015587267	0.2309815918
763	0.9015587267	0.2309508597
764	0.9014709111	0.2309021003
765	0.9015587267	0.2308306909
766	0.9015148189	0.2307464438
767	0.9016026345	0.230716797
768	0.9016904501	0.230648911
769	0.9016465423	0.2306168891
770	0.9018221734	0.2305620071
771	0.901909989	0.230545287
772	0.9019978046	0.2305152699
773	0.9020417124	0.2304602463
774	0.9022612514	0.2304024849
775	0.9021734358	0.2303537246
776	0.9023051592	0.2302550302
777	0.9023929748	0.2302114467
778	0.9024807903	0.2301457105
779	0.9023929748	0.2301020061
780	0.9023051592	0.2300855491
781	0.9024368825	0.2300557582
782	0.9024807903	0.2299961073
783	0.9025246981	0.2299349058
784	0.9025686059	0.2298960979
785	0.9025686059	0.2298595848
786	0.9025686059	0.2297621355
787	0.9025686059	0.2297313059
788	0.9025686059	0.2296893371
789	0.9027003293	0.2296353596
790	0.9027003293	0.2296131083
791	0.9027442371	0.229580326
792	0.9027881449	0.2295151216
793	0.9028759605	0.2294585044
794	0.9028320527	0.2294062579
795	0.9028320527	0.2293847909
796	0.9028320527	0.2293041818
797	0.9028759605	0.2292717674
798	0.9029198683	0.2292228886
799	0.9029198683	0.2292011813
800	0.9030515917	0.2291453049
801	0.9031394072	0.2291182766
802	0.903402854	0.2290752523
803	0.9032711306	0.2290070282
804	0.9033589462	0.2289882767
805	0.9032711306	0.228944603
806	0.9031394072	0.2288530085
807	0.9031394072	0.2287838939
808	0.9032711306	0.2287499808
809	0.9033589462	0.2287120158
810	0.903402854	0.2286636414
811	0.903402854	0.2286385987
812	0.9033589462	0.2286095102
813	0.9032711306	0.2285656666
814	0.9034467618	0.2285319469
815	0.9034467618	0.2285047064
816	0.9034906696	0.2284734808
817	0.903402854	0.2284606115
818	0.9033589462	0.2284122566
819	0.9033150384	0.228348857
820	0.9032272228	0.2282984473
821	0.9032272228	0.2282146617
822	0.9033150384	0.2281736899
823	0.9033589462	0.2281459925
824	0.9033589462	0.2281168264
825	0.9033589462	0.2280711343
826	0.903402854	0.2280509073
827	0.9035345774	0.228017828
828	0.9035784852	0.2279268106
829	0.9035784852	0.227893773
830	0.903622393	0.2278498929
831	0.9037541164	0.2277734293
832	0.9037541164	0.2277571427
833	0.9037980241	0.2277040549
834	0.9038419319	0.2276546507
835	0.9037980241	0.2276169448
836	0.9037980241	0.2275262467
837	0.9037980241	0.2274456563
838	0.9038419319	0.2274087182
839	0.9038419319	0.2273859216
840	0.9037980241	0.2273155376
841	0.9038419319	0.2272778929
842	0.9038419319	0.227248953
843	0.9038419319	0.2272241271
844	0.9038419319	0.2271918171
845	0.9039736553	0.2271445258
846	0.9038419319	0.2270614841
847	0.9040175631	0.2270094865
848	0.9040614709	0.2269678184
849	0.9038858397	0.2268934783
850	0.9039297475	0.2268832803
851	0.9039297475	0.2268439342
852	0.9039297475	0.2268187098
853	0.9040614709	0.2267543438
854	0.9039736553	0.2267351002
855	0.9040614709	0.2267207077
856	0.9040614709	0.2266836171
857	0.9039297475	0.2266245928
858	0.9041492865	0.226581313
859	0.9041053787	0.2265442148
860	0.9040614709	0.2265061936
861	0.9042810099	0.2264534463
862	0.9041931943	0.2264058978
863	0.9041931943	0.2263908332
864	0.9041492865	0.2263585102
865	0.9039736553	0.2263364244
866	0.9039297475	0.226305147
867	0.9039297475	0.2262889351
868	0.9038858397	0.2262457784
869	0.9037980241	0.2262303637
870	0.9039736553	0.2261346377
871	0.9039736553	0.2260822718
872	0.9041492865	0.2260310006
873	0.9043249177	0.2259696446
874	0.9044127333	0.2259550542
875	0.9045883644	0.2258848552
